DestinationID,Name,Latitude,Longitude
1,Govind Devji Temple,27.581424236173252,77.69938204045077
2,Vrindavan ,27.581495721798003,77.70220308716033
3,Mathura,27.48312616690545,77.67349266793802
4,Deeg Palace,27.472728535517163,77.32370678384974
5,Sultanpur National Park,28.46453569447908,76.88630872008495
6,"Leisure Valley Park, Gurugram",28.46957431064625,77.06595961917088
7,"Coronation Memorial, Delhi",28.72301273219068,77.1967600670601
8,"Tagore Garden, Delhi",28.647033937463885,77.11094751837433
9,"Rajouri Garden, Delhi",28.64986333192377,77.12273845115627
10,"Shri Adya Katyayini Shaktipeetam, Delhi",28.65017763659732,77.31096798054972
11,Qutub Minar,28.52462725075326,77.18540103561932
12,Mehrauli Archaeological Park,28.52040276166104,77.18759277661503
13,Garden Of Five Senses,28.514292483218984,77.19751001123123
14,Begumpur Mosque,28.53924123301826,77.20635830806626
15,Vasant Vihar Park,28.55835801025009,77.1637061654741
16,Hauz Khas Fort,28.55346728983995,77.19347145598984
17,Dr Bhim Rao Ambedkar Central Park,28.56139602094004,77.19551357781658
18,Green Park,28.55667495426084,77.20435947545128
19,Nehru Place,28.55006058070057,77.25136017732581
20,Lotus Temple,28.553590203371563,77.25921781641556
21,"ISCKON Temple, New Delhi",28.556272853780538,77.25378464049753
22,Okhla Bird Sanctuary,28.57431946895084,77.30254256916241
23,"Safdarjung Tomb, Delhi",28.5896401574424,77.21053598592465
24,"Nehru Park, Delhi",28.590779764624862,77.19283684430786
25,"Indira Gandhi Memorial Museum, Delhi",28.599949194136503,77.20608208239871
26,"Gandhi Smriti Museum, Delhi",28.602724436369822,77.21418692559428
27,"Lodhi Garden, Delhi",28.59302605166532,77.21947244160401
28,"Shah Tomb, Delhi",28.590991234152103,77.218066964108
29,"Sikandar Lodhi Tomb, Delhi",28.596125304553425,77.22153237812597
30,"Humayun's Tomb, Delhi ",28.593454278925687,77.250770630105
31,"Mughal Garden Pavillion, Delhi",28.597523779264503,77.24768072538501
32,"National Zoological Park, Delhi ",28.60685653732513,77.24538953215539
33,"Purana Qila, Delhi",28.609753334185505,77.24369418054813
34,India Gate ,28.613765416942886,77.22955743807769
35,Rashtrapati Bhavan,28.614536081761557,77.19952653196135
36,Gurudwara Sri Bangla Sahib,28.626545888185674,77.20913476891877
37,"Jantar Mantar, Delhi",28.627120596810663,77.21661596705638
38,"Ugrasen ki Baoli, Delhi",28.626212653930278,77.22504762472802
39,"Jama Masjid, Delhi",28.650839233742666,77.23346355356487
40,Red Fort ,28.656687988958492,77.2439143550642
41,Sansad Bhavan,28.617189,77.208084
42,Connaught Place,28.63278,77.21972
43,Salimgarh Fort,28.661,77.24
44,Tughlaqabad,28.51194,77.26083
45,Chandni Chowk,28.656,77.231
46,"Akshardham, Delhi",28.6125,77.27722
47,Cathedral Church of Redemption,28.618038,77.201978
48,"St. James Church, Delhi",28.665637,77.230784
49,"National Museum, New Delhi",28.611811,77.219262
50,"National_Rail_Museum,_New_Delhi",28.58472,77.18139
51,Nizamuddin Dargah,28.591306,77.241806
52,Raj Ghat,28.64055,77.249433
