DestinationID,Name,Latitude,Longitude
1,Sajnekhali Tiger Reserve ,22.12628101072884,88.80336796364602
2,Sunderban Tiger Reserve ,21.927451137268257,88.72376462625247
3,Bibhuti Bhushan Wildlife Sanctuary ,23.186820298552707,88.7573195924725
4,Dakshineswar Kali Temple,22.654829418261937,88.35751994221687
5,Central Park ,22.58910528031276,88.41441044580745
6,Howrah Bridge,22.585117627837576,88.34692188033809
7,Acharya Jagadish Chandra Bose Indian Botanic Garden ,22.56069061069505,88.28666686499392
8,Belur Math,22.63302287587413,88.35668190308668
9,Howrah Junction,22.58368414714812,88.34194632208417
10,Mullick Ghat Flower Market,22.581632654503803,88.34866423201
11,Eastern Railway Museum,22.57792352867062,88.34002333100035
12,St. John's Protestant Church,22.569934608031478,88.34594304965083
13,"Raj Bhavan, Kolkata",22.56724151511054,88.34722568457533
14,"Eden Gardens Park, Kolkata",22.5640619687781,88.34016990971726
15,Fort William ,22.55787150592209,88.334652925938
16,Victoria Memorial Garden ,22.545938706027684,88.3428007528396
17,"St. Paul Cathedral Church, Kolkata",22.544280435660852,88.34663171333527
18,"Kalighat Mandir Shaktipeeth, Kolkata",22.52022554265008,88.34212487231842
19,"Subhash Sarovar, Kolkata",22.568270171618224,88.39980653433466
20,"James Prinsep Monument, Kolkata",22.555412687079667,88.33083924171078
21,"Birla Mandir, Kolkata",22.530619467406368,88.36496360094151
22,"Indian Museum, Kolkata",22.55781741519841,88.35107447324029
23,"New Market, Kolkata",22.560601418784977,88.35255766257623
