DestinationID,Name,Latitude,Longitude
1,Barid shahi tombs,17.92013350676561,77.50378654446357
2,Bidar fort ,17.92109088059099,77.53011800762665
3,Gullbarga fort ,17.340568973569237,76.83316391549569
4,Ananthagiri Hills,17.31150230215654,77.86458152119876
5,Warangal Fort,17.956421423606027,79.61528080613014
6,Bhadrakali Lake ,17.988930121282316,79.58104181132668
7,Nallamala Forest,15.994737572222489,78.51536680936599
8,Srisailam Dam ,16.08767787300494,78.90007103664608
9,Bhuvanagiri Fort,17.51544549267734,78.89301504712414
10,Ramoji Film City ,17.254262820892503,78.67668144701415
11,Kandlakoya Oxygen Park,17.603891227768315,78.49127067417294
12,Osman Sagar,17.36027114992298,78.2991613704272
13,Mrugavani National Park,17.354621140482944,78.33855556024724
14,Golconda Fort ,17.384361436045833,78.40254514256978
15,Charminar,17.361641279223313,78.4746829026341
16,Chowmahalla Palace,17.35804364879468,78.47160830379036
17,"Buddha Statue, Hussain Sagar",17.415545209443575,78.47499445321044
18,NTR Gardens ,17.413384260724886,78.46823596525006
19,Falaknuma Palace,17.331114965334,78.466704595506
20,Nehru Zoological Park ,17.350971404050874,78.44500433120271
21,Rotary Park for children,17.421942773794026,78.48459666000542
