DestinationID,Name,Latitude,Longitude
1,Siddhivinayak Temple,19.0169,72.8304
2,Gateway of India,18.922456,72.834778
3,Nehru Planetarium,19.0089,72.877778
4,Chhatrapati Shivaji Maharaj Terminus,18.935006,72.877647
5,Murud-Janjira Fort,18.3319,72.9608
6,Murud Beach ,18.329713361746343,72.95486193173977
7,Janjira Fort,18.300156014427568,72.96436774462396
8,Alibag Beach,18.639,72.8721
9,Taj Mahal Palace,18.9217,72.8332
10,Kolrai Fort ,18.5363,72.9081
11,Diveagar Beach,18.17246302237629,72.98492329332804
12,Korigad Fort,18.62100003712726,73.38569408022546
13,Lonavala ,18.76028046996089,73.41271378000545
14,Khandala ,18.777623732918517,73.37706764104766
15,Lohgad Fort,18.706850013182454,73.4766610184896
16,Raigad Fort,18.239012734271277,73.4260594189156
17,Rajgad Fort,18.24669705420215,73.680805967798
18,Karnala Bird Sanctury,18.893146097050725,73.11253255493894
19,Matheran ,18.991063679424894,73.26489983452869
20,Juhu Beach ,19.116413851188145,72.82182185203223
21,Kanheri Caves ,19.20813299542196,72.90503493966669
22,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya ,18.92661731667806,72.83239118817315
23,Elephanta Caves,18.963895294801937,72.9311323439948
24,Trimbak,19.932044254276644,73.53040044004076
25,Powai Dam ,19.126976657260983,72.89601381516333
